Site,Locality,Catalog,FAI,Base,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,SA_fitted,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Average_scar_area,BaseRefinement,MidRefinement,TipRefinement,AvgScarLength,GM_Scar_length,SDI,Volume_fitted,Avg_Scar_length,Contexts,LbyBr,LbyT,SA_Corrected,cSDI,Dis_1,Dis_2,Flaked,Note
OGS12,OGS12,2015-22,5,flake,822,150.29,95.47,49.61,82,94,74.4,48.7,40,28.1,3,42875.03,64.64,2.32,1.27,1.45,1.15,0.75,0.62,0.43,2,Knife,1232.5,1.68,2.35,2.65,39.69,1.84,0.01,488222.05,39.69,Acheulean,1.57,3.03,27136.1,0.01,2,flake,Flaked,
OGS5,OGS5,1,10,cobble,896,183,119,44,97.35,119.04,81.72,42.94,38.68,24.13,12,55423.03,68.32,2.68,1.42,1.74,1.2,0.63,0.57,0.35,2,Handaxe,899.49,2.27,3.08,3.39,31.68,5.56,0.02,649589.85,31.68,Acheulean,1.54,4.16,35077.87,0.03,2,flake,Flaked,
OGS5,OGS5,4,35,flake,882,160,93,68.3,72.6,93,57.9,57.9,61,28,8,45334.07,67.2,2.38,1.08,1.38,0.86,0.86,0.91,0.42,2,Handaxe,2546.62,1.25,1.52,2.07,54.87,6.53,0.02,607080.67,54.87,Acheulean,1.72,2.34,28692.45,0.03,2,flake,Flaked,
OGS5,OGS5,9,0,flake,744,160,109,39,92.3,104.2,83.7,34.7,35.5,38.8,0,47965.04,67.15,2.38,1.37,1.55,1.25,0.52,0.53,0.58,2,Large Flake,#NULL!,2.66,2.94,2.16,#NULL!,0,0,535892.02,#NULL!,Acheulean,1.47,4.1,30357.62,0,2,flake,Unmodified,
OGS5,OGS5,10,40,flake,704,142,93,57,90.3,89.21,80.28,28.5,53.61,59.77,7,45396.65,70.18,2.02,1.29,1.27,1.14,0.41,0.76,0.85,2,Knife,2959.75,3.17,1.66,1.34,58.57,5.84,0.02,569556.76,58.57,Acheulean,1.53,2.49,28732.05,0.02,2,flake,Flaked,
OGS5,OGS5,11,0,flake,280,128.6,84.4,45.3,67.5,83.2,62.3,20,23.9,43.6,0,29829.15,51.32,2.51,1.32,1.62,1.21,0.39,0.47,0.85,2,Large Flake,#NULL!,3.38,3.48,1.43,#NULL!,0,0,256951.9,#NULL!,Acheulean,1.52,2.84,18879.21,0,2,flake,Unmodified,
OGS5,OGS5,12,0,flake,466,135.5,103.9,31.8,98.3,91.5,79,31.7,32.2,24.6,0,37335.61,58.76,2.31,1.67,1.56,1.34,0.54,0.55,0.42,2,Large Flake,#NULL!,3.1,2.84,3.21,#NULL!,0,0,357979.79,#NULL!,Acheulean,1.3,4.26,23630.13,0,2,flake,Unmodified,
OGS5,OGS5,14,0,flake,606,146.8,79.2,51.75,75,78.5,59.62,27.3,49.5,29.15,0,35011.74,57.31,2.56,1.31,1.37,1.04,0.48,0.86,0.51,2,Large Flake,#NULL!,2.75,1.59,2.05,#NULL!,0,0,371622.3,#NULL!,Acheulean,1.85,2.84,22159.33,0,2,flake,Unmodified,
OGS5,OGS5,18,0,flake,526,136.1,85.8,41.9,86.8,81.2,68.3,35.9,40,32,0,36532.13,60.63,2.24,1.43,1.34,1.13,0.59,0.66,0.53,2,Large Flake,#NULL!,2.42,2.03,2.13,#NULL!,0,0,383993.57,#NULL!,Acheulean,1.59,3.25,23121.6,0,2,flake,Unmodified,
OGS5,OGS5,19,30,cobble,644,96,88,66,77.9,83.86,64.4,57.2,61.94,63.16,5,34664.82,70.94,1.35,1.1,1.18,0.91,0.81,0.87,0.89,1,Core,1677.74,1.36,1.35,1.02,47.5,3.35,0.01,434575.86,47.5,Acheulean,1.09,1.45,21939.76,0.02,1,cobble,Flaked,
OGS5,OGS5,2,65,indet,840,165,73,53,74.6,73,54.4,52.5,52.7,36.16,17,43653.2,64.98,2.54,1.15,1.12,0.84,0.81,0.81,0.56,2,Pick,#NULL!,1.42,1.39,1.5,#NULL!,#NULL!,0.04,529836.83,#NULL!,Acheulean,2.26,3.11,27628.61,0.06,2,cobble,Flaked,too exfoliated for scar measures
OGS5,OGS5,21,5,flake,946,168,98.2,53,89.8,97.5,72.2,51,50,23.5,3,49284.5,67.47,2.49,1.33,1.45,1.07,0.76,0.74,0.35,2,Knife,2196.96,1.76,1.95,3.07,63.8,2.84,0.01,618239.16,63.8,Acheulean,1.71,3.17,31192.72,0.01,2,flake,Flaked,
OGS5,OGS5,23,0,flake,438,134.6,102,33.5,90,100.3,80,20,30,29.1,0,35480.83,55.86,2.41,1.61,1.8,1.43,0.36,0.54,0.52,2,Large Flake,#NULL!,4.5,3.34,2.75,#NULL!,0,0,317011.27,#NULL!,Acheulean,1.32,4.02,22456.22,0,2,flake,Unmodified,
OGS5,OGS5,2013-1,55,flake,824,170,106,50,102.75,103.43,84.11,31.12,38.9,20.41,10,48062.53,62.57,2.72,1.64,1.65,1.34,0.5,0.62,0.33,2,Handaxe,2114.18,3.3,2.66,4.12,54.05,8.64,0.02,501404.53,54.05,Acheulean,1.6,3.4,30419.32,0.03,2,flake,Flaked,
OGS5,OGS5,2013-2,15,flake,634,161,105,38,91.59,105,72.16,38.53,47.4,39.22,7,48637.68,69.71,2.31,1.31,1.51,1.04,0.55,0.68,0.56,2,Knife,1250.2,2.38,2.22,1.84,36.97,3.71,0.01,602285.82,36.97,Acheulean,1.53,4.24,30783.34,0.02,2,flake,Flaked,
OGS5,OGS5,3,50,cobble,1718,237,109,80,95.62,93.59,67.13,81.5,50.7,34.3,16,76904.31,79.56,2.98,1.2,1.18,0.84,1.02,0.64,0.43,2,Pick,2369.72,1.17,1.85,1.96,62.88,12.65,0.02,1160683.48,62.88,Acheulean,2.17,2.96,48673.61,0.03,2,flake,Flaked,
OGS5,OGS5,29,60,cobble,538,99.48,98.31,53,86.38,80,52.68,50,51,53.24,3,31880.94,65.03,1.53,1.33,1.23,0.81,0.77,0.78,0.82,1,Core,4798.79,1.73,1.57,0.99,84.29,3.89,0.01,367798.99,84.29,Acheulean,1.01,1.88,20177.81,0.01,1,cobble,Flaked,
OGS5,OGS5,31,0,flake,466,134,87.67,46.8,82,74.35,75,17.6,30.96,41.11,0,33204.24,54.19,2.47,1.51,1.37,1.38,0.32,0.57,0.76,2,Large Flake,#NULL!,4.66,2.4,1.82,#NULL!,0,0,301948.58,#NULL!,Acheulean,1.53,2.86,21015.34,0,2,flake,Unmodified,
OGS5,OGS5,32,0,flake,330,111.11,92,37.39,83,85.56,62.68,16.65,34.65,37.18,0,27395.12,52.23,2.13,1.59,1.64,1.2,0.32,0.66,0.71,2,Large Flake,#NULL!,4.98,2.47,1.69,#NULL!,0,0,244822.59,#NULL!,Acheulean,1.21,2.97,17338.68,0,2,flake,Unmodified,
OGS5,OGS5,33,0,flake,428,121.75,95.17,49.17,74.73,92,74,30,46.86,39.3,0,34117.67,61.75,1.97,1.21,1.49,1.2,0.49,0.76,0.64,2,Large Flake,#NULL!,2.49,1.96,1.88,#NULL!,0,0,380128.17,#NULL!,Acheulean,1.28,2.48,21593.46,0,2,flake,Unmodified,
