Site,Locality,Catalog,FAI,Base,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,Mean_Scar_Length,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Contexts,Flaked,SABox,FAC1_1,FAC2_1,cSDI
OGS12,OGS12,78,25,flake,1018,151.9,145.61,58.91,123,110,63.36,53.6,58.7,48.3,5,70.538,79.3393576686665,1.91456049637253,1.55030244275064,1.38644933904528,.798594819290084,.675578950662066,.739859783654165,.608777300689884,2,Knife,Acheulean,Flaked,79288.9462,-.129388172064987,.521395256375836,.0126120985071183
OGS12,OGS12,79,80,cobble,874,145.17,115.53,71.84,100.39,74.15,37.25,55.59,71.75,65.91,9,42.6666666666667,72.5526904831484,2.0008906497233,1.38368404164581,1.02201585504569,.51341996763927,.766201771840725,.988936447734701,.908443223277967,2,Pick,Acheulean,Flaked,71000.3562,-.815764040220598,-1.06891869959166,.0253519854876446
OGS12,OGS12,86,0,flake,342,123.5,90.5,38.5,65.1,89.2,56.8,30.5,37,18.6,0, ,50.6486587530071,2.43836664268365,1.28532525051584,1.76115226337961,1.12145121703993,.602187713375316,.73052279983235,.367235785861668,2,Large Flake,Acheulean,Unmodified,38831.5,1.19584043016125,.556211798901999,0
OGS12,OGS12,       102,65,flake,412,129,81,46,67.55,79.85,51.46,28.58,43.38,36.07,10,39.99,55.3979832141599,2.32860462629671,1.21935846904142,1.44138821247901,.928914682707198,.515903257515968,.783060997587219,.651106735430405,2,Pick,Acheulean,Flaked,40218,.503158031805246,-.00670994470485207,.0497289770749416
OGS12,OGS12,104,50,cobble,892,117.43,107.41,77,103,105,53.17,59,73,52,4,88.62,76.3496777956461,1.53805495177475,1.34905611881801,1.37525138326108,.696401105218967,.772760301070511,.956127152171988,.681076875519772,1,Core,Acheulean,Flaked,59851.6726,-1.13310011348345,.591372776885452,.0133663766649689
OGS12,OGS12,       109,30,flake,250,100,70.2,36,59.58,70.2,55.46,34.51,31.19,19.59,11,19.4545454545455,46.7644719925475,2.13837547478214,1.2740441078752,1.50113958329706,1.18594303831418,.737953376347318,.66695931058455,.418907755509822,2,Knife,Acheulean,Flaked,26294.4,.479086615060698,.781151238222302,.0836680053547523
OGS12,OGS12,       110,40,flake,436,119,93,46,93.24,83.59,52.3,45.31,31.4,18.54,7,53.7442857142857,53.6508929139994,2.21804323351623,1.73790211002565,1.55803557890438,.974820681620997,.84453394042538,.585265189347979,.345567407978074,2,Knife,Acheulean,Flaked,41638,.853030718861469,.57616228517555,.0336231327153081
OGS12,OGS12,       112,20,cobble,1374,132,108,95,103.83,103.5,78.76,88.86,94.53,84.92,4,41.775,96.8095941046557,1.36350122341492,1.07251766687251,1.06910891381397,.813555729970903,.91788423267159,.976452807950095,.8771857870636,1,Core,Acheulean,Flaked,74112,-1.92785253900132,.37138321932021,.0107944732297064
OGS12,OGS12,113,30,flake, ,126,80.62,42,47,78,48.6,41.22,40.37,20.33,4,58.72,49.798328996226,2.53020538117954,.943806769170145,1.56631761692067,.975936361312107,.827738617557305,.810669771731888,.408246630153809,2,Knife,Acheulean,Flaked,37672.32,.785395334508837,-.672231860466831,.0212357508112057
OGS12,OGS12,       114,70,cobble,430,115,78,42,73.87,71.33,61.77,50.99,49.98,32.04,12,41.0333333333333,60.7573054794583,1.89277649975575,1.21582086988659,1.17401519763111,1.01666786426011,.839240641065616,.822617125719935,.527343991758037,1,Core,Acheulean,Flaked,34152,-.466933740904815,.197423133006408,.0702740688685875
