Site,Catalog,Scan,Coverage,Old_Scar_Length,New_Scar_Length,Total_Scar_Area,Base,Type,Technology,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,SA_fitted,Calc_cover,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Dis_1,logSDI,Average_scar_area,Average_scar_area_relative,Collapsed_Types,FAC1_1,FAC2_1,filter_$,logSDI_plus_one,Note
OGS12,2012,1,95,753,751.5,45709.184,flake,pick,Bifacial,794,174,84,75,67.42,82.58,58.12,34.6,73.57,51.2,10,47937.316,0.953519884,68.85583617,2.527018909,0.979147212,1.199317365,0.844082408,0.502499162,1.068464259,0.743582576,2,Pick,Pick,0.319326286,4570.9184,0.095351988,Pick,0.342966958,-1.298125948,Not Selected,0.489404021, 
OGS12,2042, ,65,541,657.14,29212.443,cobble,handaxe,Bifacial,794,158,86,60,64.74,84.12,58.27,39.54,60,25.41,10,39019.55363,0.74866164,60.66099375,2.604639163,1.067242655,1.386723079,0.960584329,0.651819193,0.98910348,0.418885324,2,Handaxe/Cleaver,Handaxe/Cleaver,0.408717703,2921.2443,0.074866164,Handaxe,0.870642094,-0.989777875,Not Selected,0.551793593, 
OGS12,3050, ,35,837.9,574.2,17939.65,flake,handaxe,Unidirectional,862,154.95,82.7,72.15,74.18,81.73,62.11,66.87,55.56,26.18,10,44459.3354,0.403506931,66.37397169,2.334499444,1.117606768,1.231356177,0.935758377,1.007473235,0.837075115,0.394431723,2,Handaxe/Cleaver,Pick,0.352037034,1793.965,0.040350693,Handaxe,0.25998094,-0.970685711,Selected,0.511782646, 
OGS12,5004, ,35,492.8,475.5,19119.21,flake,pick,Unidirectional,914,160,104.78,66.39,84.34,89.51,47.58,42.58,66,28.34,8,43163.6144,0.442947382,64.36607127,2.485781668,1.310317662,1.390639482,0.739209323,0.661528646,1.025384938,0.440294078,2,Pick,Handaxe/Cleaver,0.267972183,2389.90125,0.055368423,Pick,0.668963867,-1.064514031,Not Selected,0.455364621, 
OGS12,5005, ,85,756,792.5,42440.34,cobble,pick,Bifacial,1048,176,94,67,88.89,73.41,53.62,60.74,60.96,29.96,9,50135.02047,0.846520847,68.15556289,2.58232773,1.304222227,1.077094765,0.786729619,0.891196513,0.894424423,0.439582607,2,Pick,Pick,0.254101313,4715.593333,0.094057872,Pick,0.609464365,-1.722638805,Not Selected,0.446405485, 
OGS12,5011, ,30,209.4,232.62,7288.1687,cobble,handaxe,Bifacial,444,121,82,48,73.59,81.28,69.5,43.75,37.69,15.09,6,30154.25083,0.241696229,53.48222219,2.26243404,1.375971248,1.519757345,1.299497238,0.818028837,0.704720157,0.282149832,2,Handaxe/Cleaver,Retouched Flake/Knife,0.298802707,1214.694783,0.040282705,Handaxe,0.855112548,0.736931358,Not Selected,0.475637666, 
OGS12,5017, ,0, ,0,0,flake,Flake, ,666,160,91.42,51.62,73,89,56,40,52,15,0,38426.66667,0,56.40411398,2.836672518,1.294231836,1.577899088,0.992835381,0.709168129,0.921918568,0.265938049,2,Large Flake,Handaxe/Cleaver,0, , ,Flake,1.639188989,-0.931942894,Selected,0, 
OGS12,5022, ,80,846.6,659.1,20637.97,flake,handaxe,Bifacial,474,142,82,51,58.9,81.14,46.54,48.89,49.9,20.92,17,32848.69113,0.628273739,55.4506645,2.560834956,1.062205485,1.463282735,0.83930464,0.881684655,0.899899044,0.377272305,2,Handaxe/Cleaver,Handaxe/Cleaver,0.713930852,1213.998235,0.036957279,Handaxe,0.76337417,-1.190393042,Selected,0.79065414, 
OGS12,5024, ,40,456.3,552.2,17461.84,flake,handaxe,Bifacial,624,151,80.58,51.1,75.84,80.58,39.6,45.99,51.91,32.13,13,37582.59627,0.464625697,60.01113499,2.516199702,1.263765466,1.342750808,0.659877538,0.766357777,0.865006136,0.535400639,2,Handaxe/Cleaver,Pick,0.538956574,1343.218462,0.035740438,Handaxe,0.611054203,-1.320906853,Selected,0.649242136, 
OGS12,5025, ,75,777,765.4,29038.81,cobble,pick,Multifacial,738,160,83,70,83,57.38,33.82,50.62,70.76,40.86,14,41470.27853,0.700231853,62.61071307,2.555473212,1.325651729,0.916456581,0.54016315,0.808487837,1.130158028,0.652603971,2,Pick,Pick,0.528391083,2074.200714,0.050016561,Pick,0.144101764,-2.47791065,Not Selected,0.641068554, 
