Note,Site,Catalog,Scan,Coverage,Old_Scar_Length,New_Scar_Length,Total_Scar_Area,Base,Type,Technology,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,SA_fitted,Calc_cover,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Dis_1,logSDI,Average_scar_area,Average_scar_area_relative,Collapsed_Types,FAC1_1,FAC2_1,filter_$,logSDI_plus_one
 ,OGS5,56, ,0, ,0,0,flake,Flake, ,288,114.6,89.2,32.4,69.4,85.2,67.9,31.7,26.8,16.3,0,26020.47,0,48.5645425783127,2.35974630699346,1.4290261230833,1.75436636436163,1.39813939131637,.652739598007789,.551842940902484,.335635818533974,2,Large Flake,Retouched Flake/Knife,0, , ,Flake,1.37549797425188,1.43599522117619,Selected,0
 ,OGS5,57, ,30,426.25,426.1,12539.32,flake,handaxe,Unidirectional,498,127,92,45,83.13,85.38,60.56,44.62,40.85,25.9,11,34101.6846,.367703828918762,59.2949687054556,2.14183433725828,1.40197392485261,1.43991980878041,1.02133454696348,.75250904038161,.688928603755912,.436799286102279,2,Handaxe/Cleaver,Handaxe/Cleaver,.508616851784104,1139.93818181818,.0334276208107966,Handaxe,.429011425072279,.43458710323034,Selected,.625893224526668
 ,OGS5,54, ,0, ,0,0,flake,Flake, ,398,110.3,85.7,54.5,63.8,77.3,58.5,31,52.2,53.1,0,29783.9966666667,0,59.799016104743,1.844511953287,1.06690718603545,1.2926634087859,.978276965251943,.518403178167696,.872924061301734,.887974476151763,2,Large Flake,Oldowan,0, , ,Flake,-.643410485785096,.549520648661129,Selected,0
 ,OGS5,58, ,50, ,230.9,9588.85,cobble,Core,Indet.,332,84.58,69.18,61.03,59.47,69,58.3,55.12,60.24,43.42,6,25293.7850666667,.379099054361644,60.3544932726879,1.40138696248942,.985345030258283,1.14324545296488,.965959563881922,.913270860397454,.998102986762384,.719416196633843,1,Core,Core,.375137426552651,1598.14166666667,.0631831757269406,Core,-1.69244041950481,.517034834972386,Not Selected,.527903563613376
 ,OGS5,59, ,10,223.52,136,7417,flake,Flake,Unidirectional,420,110,94,37,78.04,109.22,66.79,36.54,38.46,19.76,4,29750.752,.249304622619287,56.054775533809,1.96236625608561,1.39220966022655,1.94845129536064,1.19151311130871,.651862390885165,.686114601900478,.352512338365924,2,Retouched Flake/Knife,Retouched Flake/Knife,.128562043605484,1854.25,.0623261556548218,Flake,.633225162318882,1.89970914539386,Selected,.370050946483944
 ,OGS5,6, ,75,996.57,955.4,74064.15,cobble,pick,Bifacial,1866,212,121,82,140.56,123.99,87.29,89.8,80.9,43.6,9,96442.5853333333,.76796105935996,100.305067132713,2.11355224676241,1.40132501794776,1.23612897677392,.870245168018354,.895268829053135,.806539513033392,.434673952636043,2,Pick,Handaxe/Cleaver,-.0300263345405731,8229.35,.0853290065955511,Pick,.0520300483133068,-.34965453225602,Not Selected,.286276272530252
 ,OGS5,60+68, ,20, ,511.7,17467.2282,flake,handaxe,Bifacial,1340,190,118.8,59.8,99.84,105,84,59,47,32,9,62644.96,.278828946494658,76.1484282672722,2.49512700817832,1.31112358156065,1.37888597820381,1.10310878256304,.774802597276424,.617215628338847,.420231917166874,2,Handaxe/Cleaver,Handaxe/Cleaver,.15735637317119,1940.80313333333,.030980994054962,Handaxe,1.01760682088221,-.156001551546493,Selected,.386796333157087
 ,OGS5,61, ,5, ,78,2587.71,flake,Flake, ,446,138,90.75,50,78,82.71,62.47,18.7,44.8,31.2,2,32652.624,.0792496799032139,54.6382493492952,2.52570317759971,1.42757136125201,1.5137747088353,1.14333824278735,.342251082761699,.819938422872948,.571028544500803,2,Retouched Flake/Knife,Large Flake,-.212888091721384,1293.855,.039624839951607,Flake,1.23636846267057,.402042009178901,Selected,.207501932206866
 ,OGS5,62, ,5, ,226,7927.25,flake,handaxe,Unidirectional,1080,179.22,108.35,60.93,87.46,109.72,79.81,62.61,55.65,34.16,6,59508.087,.133212986665157,77.1960560694521,2.32162119576107,1.13295943411039,1.42131613435389,1.03386110720729,.811051797046092,.720891750608769,.442509653203873,2,Handaxe/Cleaver,Handaxe/Cleaver,.00357526111191993,1321.20833333333,.0222021644441928,Handaxe,.536542165194221,-.162481005168414,Selected,.302821305306499
 ,OGS5,63, ,5, ,122.6,3938.67,flake,Flake, ,848,164,108,45.66,92.5,107.6,67,46,44,26,3,47882.6,.0822568114513414,66.5066719401206,2.46591800816101,1.39083790094447,1.61788279072027,1.00741772284627,.691659929118332,.661587758287101,.390938220806014,2,Retouched Flake/Knife,Handaxe/Cleaver,-.203056469616963,1312.89,.0274189371504471,Flake,1.1610711182684,.158174181209558,Selected,.211262717057914
